City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Alexandroupoli,GR,40.8475,25.8744,55.4,62,20,6.91,few clouds
228,Tiksi,RU,71.6872,128.8694,8.44,96,100,12.5,light snow
229,Henties Bay,NA,-22.116,14.2845,77.0,58,6,7.0,clear sky
230,Carbondale,US,37.7273,-89.2168,51.8,58,75,6.91,broken clouds
231,San Patricio,US,28.017,-97.5169,78.01,56,20,0.4,few clouds
232,Fort Nelson,CA,58.8053,-122.7002,48.2,40,20,6.91,few clouds
233,Staraya Mayna,RU,54.6,48.95,48.2,21,66,13.42,broken clouds
234,Taganak,PH,6.0833,118.3,82.0,89,20,1.14,few clouds
235,Smithers,CA,54.7804,-127.1743,42.8,52,1,3.44,clear sky
236,Mangrol,IN,21.1167,70.1167,80.89,82,100,12.41,overcast clouds
237,Iracoubo,GF,5.4802,-53.2011,78.04,89,100,8.86,light rain
238,Sabang,ID,5.8933,95.3214,84.15,72,93,11.43,overcast clouds
239,Mareeba,AU,-17.0,145.4333,73.99,100,75,2.3,heavy intensity rain
240,Boa Vista,BR,2.8197,-60.6733,89.6,37,20,10.36,few clouds
241,Mitsamiouli,KM,-11.3847,43.2844,81.34,75,92,5.55,light rain
242,Salinopolis,BR,-0.6136,-47.3561,81.18,78,75,4.76,moderate rain
243,Georgetown,MY,5.4112,100.3354,82.99,83,20,4.61,few clouds
244,Gavle,SE,60.6745,17.1417,55.99,46,100,3.0,overcast clouds
245,Tangara,BR,-6.1994,-35.8017,86.0,66,40,16.11,scattered clouds
246,Waterloo,CA,43.4668,-80.5164,39.0,64,90,16.11,overcast clouds
247,Yongan,CN,39.6957,113.6871,52.21,75,100,6.93,overcast clouds
248,Srednekolymsk,RU,67.45,153.6833,27.48,77,62,7.4,broken clouds
249,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.8,87,90,9.22,overcast clouds
250,Aranos,NA,-24.1333,19.1167,72.77,18,0,7.94,clear sky
251,Iqaluit,CA,63.7506,-68.5145,21.2,79,75,4.61,broken clouds
252,Port Lincoln,AU,-34.7333,135.8667,53.92,59,14,3.78,few clouds
253,Challapata,BO,-18.9,-66.7667,57.69,23,0,9.46,clear sky
254,Airai,TL,-8.9266,125.4092,57.54,92,29,0.72,scattered clouds
255,Mbarara,UG,-0.608,30.65,61.23,94,100,2.59,overcast clouds
256,Bairiki,KI,1.3292,172.9752,78.8,94,40,2.3,light rain
257,San Luis,AR,-33.295,-66.3356,80.17,42,15,19.95,few clouds
258,Luang Prabang,LA,19.8856,102.1347,74.46,80,22,2.13,few clouds
259,Svetlyy,RU,54.675,20.1347,50.0,66,0,6.71,clear sky
260,Norrtalje,SE,59.758,18.705,53.6,37,0,9.22,clear sky
261,Geraldton,AU,-28.7667,114.6,59.0,82,1,8.05,clear sky
262,Callaguip,PH,18.0714,120.4867,79.09,80,100,19.6,overcast clouds
263,Cockburn Town,TC,21.4612,-71.1419,82.4,65,20,14.97,few clouds
264,Adrar,MR,20.5022,-10.0711,98.49,3,86,15.19,overcast clouds
265,Atambua,ID,-9.1061,124.8925,70.12,84,55,3.11,broken clouds
266,Gainesville,US,29.6516,-82.3248,75.2,53,90,11.5,overcast clouds
267,Baruun-Urt,MN,46.6806,113.2792,56.37,19,100,11.12,overcast clouds
268,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,72,0,2.3,clear sky
269,Turkmenabat,TM,39.0733,63.5786,68.0,40,0,9.22,clear sky
270,Te Anau,NZ,-45.4167,167.7167,45.64,92,73,0.69,broken clouds
271,Sahbuz,AZ,39.4072,45.5739,68.0,49,90,4.61,overcast clouds
272,Bulungu,CD,-4.55,18.6,73.51,91,99,2.35,moderate rain
273,Saldanha,ZA,-33.0117,17.9442,75.2,41,75,6.91,broken clouds
274,Espinosa,BR,-14.9261,-42.8192,80.13,64,53,4.25,broken clouds
275,Bud,US,39.447,-86.1758,46.99,70,90,4.61,overcast clouds
276,Grand Gaube,MU,-20.0064,57.6608,78.01,83,100,3.0,overcast clouds
277,Plettenberg Bay,ZA,-34.0527,23.3716,66.33,84,87,7.02,overcast clouds
278,Ambon,ID,-3.6954,128.1814,80.76,78,100,2.33,overcast clouds
279,Vallenar,CL,-28.5708,-70.7581,70.21,44,60,7.14,broken clouds
280,Bollnas,SE,61.3482,16.3946,55.99,46,100,3.0,overcast clouds
281,Seoul,KR,37.5683,126.9778,50.0,76,0,4.61,clear sky
282,Masvingo,ZW,-20.0637,30.8277,60.94,56,74,6.38,broken clouds
283,Olinda,BR,-8.0089,-34.8553,82.4,69,40,8.05,scattered clouds
284,Arman,RU,59.7,150.1667,35.06,84,100,17.87,overcast clouds
285,Luderitz,NA,-26.6481,15.1594,71.04,62,4,8.43,clear sky
286,Dhidhdhoo,MV,6.8833,73.1,84.74,71,93,11.07,overcast clouds
287,Dingle,PH,10.9995,122.6711,77.2,83,99,7.9,overcast clouds
288,Quatre Cocos,MU,-20.2078,57.7625,78.8,89,75,6.69,broken clouds
289,Chihuahua,MX,28.5,-106.0,71.6,18,1,4.61,clear sky
290,Cap Malheureux,MU,-19.9842,57.6142,78.01,83,100,3.0,overcast clouds
291,Kalmunai,LK,7.4167,81.8167,80.76,79,13,7.36,few clouds
292,Fort Wellington,GY,6.4,-57.6,83.68,56,98,7.61,overcast clouds
293,Tshikapa,CD,-6.4167,20.8,71.76,96,100,3.44,overcast clouds
294,Ancud,CL,-41.8697,-73.8203,52.0,93,90,6.91,moderate rain
295,Hailar,CN,49.2,119.7,52.86,35,100,20.49,overcast clouds
296,Aleysk,RU,52.4926,82.7822,24.94,55,3,5.32,clear sky
297,Porto Novo,BJ,6.4965,2.6036,86.0,74,40,9.22,scattered clouds
298,Puerto Cabezas,NI,14.0351,-83.3888,86.0,79,75,4.61,broken clouds
299,Korla,CN,41.7597,86.1469,66.47,25,24,3.98,few clouds
300,Opuwo,NA,-18.0607,13.84,76.01,28,5,7.9,clear sky
301,Brae,GB,60.3964,-1.353,42.8,70,40,23.02,scattered clouds
302,Springdale,US,36.1867,-94.1288,39.2,81,90,11.5,overcast clouds
303,Yerofey Pavlovich,RU,53.9667,121.9667,28.36,68,22,5.61,few clouds
304,Ulaangom,MN,49.9811,92.0667,32.74,82,100,12.28,light snow
305,Bar Bigha,IN,25.2167,85.7333,91.54,10,92,4.25,overcast clouds
306,Corowa,AU,-36.0333,146.3833,43.0,81,2,14.05,clear sky
307,Okhotsk,RU,59.3833,143.3,31.82,98,100,15.39,snow
308,Esperance,AU,-33.8667,121.9,55.4,94,90,6.91,overcast clouds
309,Egvekinot,RU,66.3167,-179.1667,8.74,72,92,2.93,overcast clouds
310,Qaqortoq,GL,60.7167,-46.0333,44.6,39,75,6.91,broken clouds
311,Inongo,CD,-1.95,18.2667,78.03,75,79,7.4,broken clouds
312,Narsaq,GL,60.9167,-46.05,44.6,39,75,6.91,broken clouds
313,Lahaina,US,20.8783,-156.6825,73.0,78,1,9.22,clear sky
314,Redding,US,40.5865,-122.3917,71.01,40,1,4.61,clear sky
315,Krasnoselkup,RU,65.7,82.4667,-1.46,96,7,6.96,clear sky
316,Ketchikan,US,55.3422,-131.6461,50.0,71,1,13.8,clear sky
317,Puerto Del Rosario,ES,28.5004,-13.8627,71.6,68,20,19.57,few clouds
318,Poum,NC,-20.2333,164.0167,77.36,81,49,9.15,scattered clouds
319,Poronaysk,RU,49.2167,143.1167,32.95,81,100,19.44,snow
320,Buraydah,SA,26.326,43.975,91.4,19,0,3.44,clear sky
